星级	卡面名称	获取方式	隶属活动	类型
6	绚丽极夜	常驻	-	约会
6	缱绻心绪	常驻	-	约会
6	若我失序	常驻	听不见的呼救	轨迹
6	低温记忆	限定	羁梦星愿	余音
6	炽之圆舞	限定	密涅瓦之昼	约会
6	浮影相依	22生日限定	良宵异彩	约会
6	夕色再临	限定	尘封的雪影	侧影
6	微醺心潮	限定	日日夜夜	约会
6	香颂絮语	限定	戏宴二重奏	约会
6	爱神特快	一周年限定	繁花与序章	约会
6	向幽冥去	常驻	太阳为谁而升	轨迹
6	游园惊梦	限定	长梦烬余痕	侧影
6	向阳炽趣	限定	三丽鸥联动	约会
6	千舸帆影	限定	奈特兰之诗	约会
6	诱色	限定	羁梦花事	余音
6	不羁夜	限定	情热至深	倒带
6	脱轨	常驻	大雪化为乌有	胶片
6	岁遥慕念	23生日限定	长霄寄初梦	约会
6	燃星役者	二周年限定	寂静撞击：2624	轨迹
6	落日杀机	限定	彷徨终结时	约会
6	虹时鲸歌	限定	浮梦夏日长	约会
6	燎原	限定	羁梦镜影	余音
6	猎杀游戏	限定	极乐嘉年华	侧影
5	暮间诉愿	常驻	-	约会
5	旧忆绵长	常驻	-	约会
5	迷途誓约	常驻	-	邂逅
5	掠空星芒	常驻	时间的彼岸	邂逅
5	念念时光	限定	倒叙青春	约会
5	盛夏变奏	限定	专栏	约会
5	锦鲤颂运	限定	专栏	约会
5	斑斓一诺	常驻	由于感到了爱	邂逅
5	秋日序曲	限定	隽秋阅意	约会
5	驰日环游	限定	春见有期	约会
5	翳影星光	限定	从再见走向再见	邂逅
5	星落林深	限定	专栏	约会
5	踏歌而行	限定	启星折愿	约会
4	晴空之下	常驻	-	
4	琥珀岁月	常驻	-	
4	同光	常驻	-	
4	昨日留痕	常驻	-	
4	天机	常驻	-	
4	倦懒日光	限定	与他去远方	
4	末班列车	常驻	失败者的失败	
4	亘久绪风	22生日限定	良宵异彩	
4	碧空澈明	23生日限定	长霄寄初梦	
3	橘色星球	常驻	-	
3	萌宠携趣	常驻	-	
3	晴歌	常驻	-	
3	甜蜜滋味	常驻	-	
3	小为难	常驻	-	
3	明媚悠光	常驻	-	
3	月神私语	21中秋限定	月悬星落映花灯	
3	金岁繁声	22春节限定	春意赠新朝	
3	可盐可甜	22春节限定	春意赠新朝	
3	甜蜜视线	限定	悠游夏日	
3	夏季情诗	一周年限定	繁花与序章	
3	重楼笙歌	限定	长梦烬余痕	
3	奇梦游嬉	限定	三丽鸥联动	
3	暮色涟城	限定	奈特兰之诗	
3	软糯心团	23春节限定	锦岁华年	
3	沸腾温度	限定	情热至深	
3	鲜红猎枪	限定	迷镜回响	
3	繁星如沸	限定	秾彩绘意	
3	诺亚为舟	二周年限定	寂静撞击：2624	
3	逾沙行动	限定	彷徨终结时	
3	海屿天光	限定	浮梦夏日长	
3	欢乱鸣响	限定	极乐嘉年华	
2	六出心音	常驻	-	
2	一剑橙花	限定	织梦迷境	
2	潋滟衷曲	限定	织梦迷境	
2	软糯萌星	22中秋限定	桂时与你	
2	终末仪式 ​​​	常驻	织梦迷境	
2	长日酣梦	限定	大熊猫联动	
1	甜橙魅语	常驻	-	
1	灵之所向	21万圣限定	寻宝奇幻夜	
1	诗歌华年	22元旦限定	冬雪星光夜	
1	寻宝谧境	限定	奈特兰之诗	
1	顽皮冒险	23元旦限定	冬雪庆典	
1	机械黎明	二周年限定	寂静撞击：2624	
1	可爱魇	限定	极乐嘉年华	
1	蜜橘余味 ​​​	限定	萌晴盛游	
