星级	卡面名称	获取方式	隶属活动	类型
6	生而有翼	常驻	-	约会
6	缠绵游戏	常驻	-	约会
6	我心降落	常驻	时间的彼岸	轨迹
6	刺金花园	限定	羁梦星愿	余音
6	仲夏鎏金	21生日限定	夏意渐浓	约会
6	时与玫瑰	限定	巴洛克梦境	约会
6	向心引力	限定	尘封的雪影	侧影
6	蝴蝶效应	限定	日日夜夜	约会
6	共犯	常驻	失败者的失败	轨迹
6	夜幕缭绕	限定	荒悖夜狂欢	约会
6	钻石之心	一周年限定	繁花与序章	约会
6	致神谕	22生日限定	夏令赋格曲	约会
6	霓夜采香	限定	长梦烬余痕	侧影
6	失控	限定	羁梦花事	余音
6	逃亡童话	限定	三丽鸥联动	约会
6	狮心掠城	限定	奈特兰之诗	约会
6	无眠区	限定	情热至深	倒带
6	奢梦	限定	羁梦镜影	余音
6	局部麻醉	限定	大雪化为乌有	胶片
6	亘日归途	二周年限定	寂静撞击：2624	轨迹
6	圣痕之下	23生日限定	昨日折叠	约会
6	太阳耀斑	限定	浮梦夏日长	约会
6	破空同行	限定	澄空迷航	约会
6	投奔烈火	限定	从再见走向再见	胶片
6	荒蛮乐园	限定	极乐嘉年华	侧影
5	与你出逃	常驻	-	约会
5	昼日凝魂	常驻	-	约会
5	重叠心律	常驻	-	邂逅
5	痛吻危城	常驻	听不见的呼救	邂逅
5	是日悠悠	限定	郁晴集市	约会
5	背向拥抱	常驻	太阳为谁而升	邂逅
5	铂金风度	限定	专栏	约会
5	眸中烟火	限定	纸阅倾心	约会
5	将雪逾冬	限定	专栏	约会
5	心匿	限定	念念而归	约会
5	漫情午歇	限定	暖羽衔意	约会
4	日暮大道	常驻	-	
4	火焰宣言	常驻	-	
4	纯白守则	常驻	-	
4	底色	常驻	-	
4	落坠	常驻	听不见的呼救	
4	晨间烟火	21生日限定	夏意渐浓	
4	罗德序	22生日限定	夏令赋格曲	
4	片羽樊笼	常驻	由于感到了爱	
4	满愿之火	23生日限定	昨日折叠	
3	失眠症	常驻	-	
3	懒风余晖	常驻	-	
3	微醺时分	常驻	-	
3	绅士运动	常驻	-	
3	专业气质	常驻	-	
3	完美假日	常驻	-	
3	明月佳期	21中秋限定	月悬星落映花灯	
3	一掷千金	22春节限定	春意赠新朝	
3	海派甜心	22春节限定	春意赠新朝	
3	一口酥甜	限定	悠游夏日	
3	爱之蜜语	一周年限定	繁花与序章	
3	香玉在怀	限定	长梦烬余痕	
3	如沐稚心	限定	三丽鸥联动	
3	此间银辉	限定	奈特兰之诗	
3	超额惊喜	23春节限定	锦岁华年	
3	霓虹禁区	限定	情热至深	
3	雪羽之誓	限定	迷镜回响	
3	晨曦乐章	限定	秾彩绘意	
3	烟尘光年	二周年限定	寂静撞击：2624	
3	纸醉金迷	限定	浮梦夏日长	
3	亲启天空	限定	澄空迷航	
3	致命理欲	限定	极乐嘉年华	
2	顾影幽莲	常驻	-	
2	逆旅萦华	限定	织梦迷境	
2	黑羽迷城	限定	织梦迷境	
2	最酥口感	22中秋限定	桂时与你	
2	隐秘筹码	常驻	织梦迷境	
2	杯盏相庆	限定	大熊猫联动	
1	淡紫治愈	常驻	-	
1	未知之行	21万圣限定	寻宝奇幻夜	
1	未来式约	22元旦限定	冬雪星光夜	
1	异途同归	限定	奈特兰之诗	
1	无与伦比	23元旦限定	冬雪庆典	
1	心动解码	二周年限定	寂静撞击：2624	
1	清醒梦	限定	极乐嘉年华	
1	弦爱乐章	限定	萌晴盛游	
