星级	卡面名称	获取方式	隶属活动	类型
6	暮光之境	常驻	-	约会
6	光暖秋林	常驻	-	约会
6	幻光	常驻	时间的彼岸	轨迹
6	绯红深渊	限定	羁梦星愿	余音
6	繁荫秘语	限定	稠光觅绿影	约会
6	犹在镜中	限定	尘封的雪影	侧影
6	罪爱	限定	日日夜夜	约会
6	宴色诱惑	22生日限定	欲望花都	约会
6	心为形役	常驻	太阳为谁而升	轨迹
6	奇诞破晓	限定	游弋八日谈	约会
6	隽永契约	一周年限定	繁花与序章	约会
6	瑰焰燎原	限定	长梦烬余痕	侧影
6	贪欢	限定	羁梦花事	余音
6	罪欲同歌	限定	奈特兰之诗	约会
6	林间绯色	限定	三丽鸥联动	约会
6	深眷永梦	23生日限定	恋冬夜未眠	约会
6	迷离劫	限定	情热至深	倒带
6	囚境	限定	羁梦镜影	余音
6	去日挽歌	二周年限定	寂静撞击：2624	轨迹
6	寂时交锋	限定	无梦之都	约会
6	逃往黄昏	限定	浮梦夏日长	约会
6	群居动物	限定	从再见走向再见	胶片
6	野望之冕	限定	极乐嘉年华	侧影
6	酌暮	限定	羁梦香遇	余音
6	怀风细响	24生日限定	缄声之约	约会
5	倾人夜色	常驻	-	邂逅
5	白马童话	常驻	-	约会
5	一动星光	常驻	-	约会
5	弦音似你	常驻	-	约会
5	星河入梦	常驻	氪条	约会
5	深海回音	限定	屿岛情书	约会
5	心灵博弈	常驻	失败者的失败	邂逅
5	蝶吻其上	限定	专栏	约会
5	阅尽晨昏	限定	雾城书声	约会
5	繁灯如昼	常驻	由于感到了爱	邂逅
5	 此信承期	限定	专栏	约会
5	碧海时心	限定	大雪化为乌有	邂逅
5	晴浮云霄	限定	专栏	约会
5	静港黎明	限定	异方同望	约会
4	醇香私语	常驻	-	
4	交错光影	常驻	-	
4	迷失幻境	常驻	-	
4	此刻停泊	常驻	-	
4	深红救赎	常驻	-	
4	温柔以待	常驻	-	
4	和光熹微	常驻	-	
4	暗夜邀约	常驻	-	
4	夜色难沉	常驻	-	
4	迷途	常驻	听不见的呼救	
4	羽后晨曦	常驻	氪条	
4	落子有悔	22生日限定	欲望花都	
4	枯败	常驻	由于感到了爱	
4	异色童话	23生日限定	恋冬夜未眠	
4	缄声之愿	24生日限定	缄声之约	
3	诗意人生	常驻	-	
3	孤岛	常驻	-	
3	私人时间	常驻	-	
3	暖黄思绪	常驻	-	
3	慢时光	常驻	-	
3	月伴之夜	常驻	-	
3	八月夜桂花	21中秋限定	月悬星落映花灯	
3	年年有余	22春节限定	春意赠新朝	
3	与你同酌	22春节限定	春意赠新朝	
3	心潮夜涌	限定	悠游夏日	
3	朝暮誓约	一周年限定	繁花与序章	
3	什袭袖藏	限定	长梦烬余痕	
3	万信之始	限定	奈特兰之诗	
3	片叶暇光	限定	三丽鸥联动	
3	掌间兔跃	23春节限定	锦岁华年	
3	长夜将明	限定	情热至深	
3	寂夜微光	限定	迷镜回响	
3	寄心听梦	限定	秾彩绘意	
3	此地长眠	二周年限定	寂静撞击：2624	
3	缄默对峙	限定	无梦之都	
3	暗香涌动	限定	浮梦夏日长	
3	危情沉湎	限定	极乐嘉年华	
2	曼陀独白	常驻	-	
2	瑰色谜梦	限定	织梦迷境	
2	异灯长影	限定	织梦迷境	
2	月诉兔心	22中秋限定	桂时与你	
2	逾矩天平	常驻	织梦迷境	
2	闲日漫谈	限定	大熊猫联动	
1	深红幽香	常驻	-	
1	绛之狂宴	21万圣限定	寻宝奇幻夜	
1	王之冠礼	22元旦限定	冬雪星光夜	
1	秘海之录	限定	奈特兰之诗	
1	运筹帷幄	23元旦限定	冬雪庆典	
1	星辰共枕	二周年限定	寂静撞击：2624	
1	奇迹戏	限定	极乐嘉年华	
1	煦暖冬季	限定	萌晴盛游	
