星级	卡面名称	获取方式	隶属活动	类型
6	氤氲	常驻	-	约会
6	倒影	常驻	-	约会
6	千载织心	常驻	氪条	约会
6	触目如故	常驻	听不见的呼救	轨迹
6	昔年绿夏	限定	羁梦星愿	余音
6	夏日向晚	限定	与他去远方	约会
6	旧梦阑珊	21生日限定	昔年依旧	约会
6	拈花一梦	限定	尘封的雪影	侧影
6	暗涌	限定	日日夜夜	约会
6	生生团圆	限定	竟夕相知意	约会
6	以吻封缄	一周年限定	繁花与序章	约会
6	长宵无觅	限定	长梦烬余痕	侧影
6	山海誓	22生日限定	秋意涌红尘	约会
6	长风吹彻	常驻	由于感到了爱	轨迹
6	暗域妖歌	限定	奈特兰之诗	约会
6	温存	限定	羁梦花事	余音
6	常日如绵	限定	三丽鸥联动	约会
6	倚灼情	限定	情热至深	倒带
6	灼见	限定	尘埃落定	约会
6	见见春天	限定	大雪化为乌有	胶片
6	交错伊甸	二周年限定	寂静撞击：2624	轨迹
6	浮生	限定	羁梦镜影	余音
6	沁入心扉	限定	浮梦夏日长	约会
6	山雨初歇	23生日限定	云月之约	约会
6	长梦未歇	限定	枕梦经年	约会
6	不可复制	限定	极乐嘉年华	侧影
5	咫尺	常驻	-	邂逅
5	永恒花园	常驻	-	约会
5	草莓星球	常驻	-	约会
5	瑰丽游戏	常驻	-	约会
5	遥月心灯	常驻	时间的彼岸	邂逅
5	碎梦浮金	常驻	失败者的失败	邂逅
5	与世同行	限定	异日徜欢	约会
5	夕暮之风	限定	专栏	约会
5	暄日携游	限定	专栏	约会
5	光阴漫语	限定	温书纪雪	约会
5	朝夕容与	限定	对暮思存	约会
5	断卷悬心	限定	从再见走向再见	邂逅
4	光之缚	常驻	-	
4	皎皎流光	常驻	-	
4	触摸灵感	常驻	-	
4	刹那心弦	常驻	-	
4	溺惑	常驻	-	
4	掌上流光	常驻	-	
4	量身定制	常驻	-	
4	共赴璀璨	常驻	-	
4	时之茧	常驻	-	
4	光与尘	常驻	-	
4	绮窗疏影	21生日限定	昔年依旧	
4	追光逐尘	常驻	失败者的失败	
4	雨过经年	常驻	太阳为谁而升	
4	映归途	22生日限定	秋意涌红尘	
4	云月如烛	23生日限定	云月之约	
3	七月间事	常驻	-	
3	凝视	常驻	-	
3	夏日纪事	常驻	-	
3	和风煦日	常驻	-	
3	片刻舒心	常驻	-	
3	未完回首	常驻	-	
3	彩灯映月	21中秋限定	月悬星落映花灯	
3	野鹤闲云	22春节限定	春意赠新朝	
3	特别服务	22春节限定	春意赠新朝	
3	微澜之心	限定	悠游夏日	
3	心上花开	一周年限定	繁花与序章	
3	泼茶掩墨	限定	长梦烬余痕	
3	荧海灵渊	限定	奈特兰之诗	
3	暖冬之絮	 限定	三丽鸥联动	
3	落笔揭情	23限定	锦岁华年	
3	粉墨共眠	限定	情热至深	
3	浮花无依	限定	迷镜回响	
3	如山	限定	尘埃落定	
3	白昼情驰	限定	秾彩绘意	
3	迷途启示	二周年限定	寂静撞击：2624	
3	清宵云浮	限定	浮梦夏日长	
3	秋眠叙日	限定	枕梦经年	
3	怪诞礼歌	限定	极乐嘉年华	
2	一现昙花	常驻	-	
2	林隐之诗	限定	织梦迷境	
2	花海月浮	限定	织梦迷境	
2	悠河浮盏	22中秋限定	桂时与你	
2	惩戒音律	常驻 	织梦迷境	
2	竹香吟味	限定	大熊猫联动	
1	浅绿疏影	常驻	-	
1	一念成墨	21万圣限定	寻宝奇幻夜	
1	深空回响	22元旦限定	冬雪星光夜	
1	浮灵传说	限定	奈特兰之诗	
1	澄玉星火	23元旦限定	冬雪庆典	
1	时空相约	二周年限定	寂静撞击：2624	
1	如约定	限定	极乐嘉年华	
1	暇时闲意	限定	萌晴盛游	
